No.;POI_Name_Arabic;POI_Name_English;Category;Food_Type;Phone_Number;Mobile_Number;Street_Name ;District;URL;Latitude;Longitude;Paymentm
414;»—€—«Ì““—;Burgerizzr;Restaurant;BURGERS;011 812 0742;;King Salman Rd;An Narjis;;24.852984;46.675991;›Ì“«
424;«Ì »—ﬁ— ;I Burger;Restaurant;BURGERS;;;King Salman Rd;An Narjis;;24.853216;46.676543;›Ì“«
425;„ÿ⁄„ ”⁄Ìœ «·“Â—«‰Ì;Saeed Al Zahrani Restaurant;Restaurant;;;059 470 7493;Prince Faisal Ibn Bandar Ibn Abdulaziz Rd;An Narjis;;24.857128;46.677411;ﬂ«‘
426;„ÿ⁄„ Ã«‰«;"Jana Restaurant
";Restaurant;;;058 055 8088;Prince Faisal Ibn Bandar Ibn Abdulaziz Rd;An Narjis;;24.860065;46.672564;›Ì“«
435;„ÿ⁄„ «·»Œ«—Ì;Al Bukhari Restaurant;Restaurant;;;;Prince Saud Ibn Abdullah Ibn Jalawi;An Narjis;;24.862144;46.653454;ﬂ«‘
443;Â«—Ì“ »Ì “«;Harry's Pizza ;Restaurant;PIZZA;9200 04682;;Abi Bakr As Siddiq Rd;An Narjis;harryspizza.sa;24.858928;46.646193;„«” —
444;’» Ê«Ì;Subway;Restaurant;SANDWICH;;;Abi Bakr As Siddiq Rd;An Narjis;;24.858794;46.646139;ﬂ«‘
445;›—‰ «·÷Ì⁄…;Furn Aldayaa;Restaurant;;011 810 1736;;Abi Bakr As Siddiq Rd;An Narjis;furnaldayaa.com.sa;24.858833;46.646156;„«” —
448;»—€—«Ì““—˝;Burgerizzr;Restaurant;BURGERS;;;Abi Bakr As Siddiq Rd;An Narjis;;24.858610;46.646070;›Ì“«
452;œÊ„Ì‰Ê“ »Ì “«;Dominos;Restaurant;PIZZA;9200 12345;;Abi Bakr As Siddiq Rd;An Narjis;dominos.com;24.858263;46.645937;›Ì“«
453;ﬂ«‰ Ê‰;Canton;Restaurant;CHINESE FOOD ;;;Abi Bakr As Siddiq Rd;An Narjis;canton-express.com;24.858170;46.645898;ﬂ«‘
455;»—€—«Ì“—;Burgerizzr;Restaurant;BURGERS;;;Abi Bakr As Siddiq Rd;An Narjis;;24.858071;46.645895;›Ì“«
458;„ÿ⁄„ √—“«ﬁ «·—Ì«÷ »Œ«—Ì;Arzak Riyadh Bukhari Restaurant;Restaurant;;;;Abi Bakr As Siddiq Rd;An Narjis;;24.856051;46.646921;ﬂ«‘
459;„ÿ⁄„ √—“«ﬁ «·—Ì«÷ »Œ«—Ì;Livelihoods Riyadh Al-Bukhari Restaurant;Restaurant;;;;Abi Bakr As Siddiq Rd;An Narjis;;24.855976;46.646959;„«” —
